C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,Labels
Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH),Royce Leather Unisex Pilot / Catalog Computer Case,Acer Aspire V 15 Touch V3-572P-326T Signature Edition Laptop,Kensington K64663US ClickSafe Master Keyed Laptop Lock,Lenovo G410 Laptop Computer - 59410765 - Black - Intel Core i5-4200M Processor( 2.50GHz 1600MHz 3MB),Acer 15.6 Aspire Notebook 6 GB Memory 1 TB Hard Drive Red E1-572-54206G1TMnrr ,Royce Leather 6375 ,Case Logic TopLoading Laptop Case Black VNAI-215BL ,Lenovo 14 Laptop Intel Core i7 8GB Memory 1TB+8GB Hybrid Hard Drive Black S4170 - 80JU000VUS ,"Agptek.com, Inc LR64F ","[(0, 7), (1, 6), (4, 8)]"
"2015 Newest Edition Dell Inspiron 17 5000 Series 17.3 Inch Laptop with with Windows 7 Professional, 5th Generation Intel Core i3-5005U (3M Cache, 2 GHz), 4GB Memory, 500GB HDD",AmazonBasics Rolling Laptop Case,Case Logic 17-Inch Security Friendly Laptop Case (ZLCS-217),Case Logic VNA-216 16-Inch Laptop Attache (Black),LapGear Designer Series 300 Lapdesk Damask (48374),Case Logic Laptop Backpack Gray DLBP-116DA ,Case Logic Laptop Sleeve Black PLS-15BLAC ,Dell Inspiron 15.6 TouchScreen Laptop Intel Core i5 12GB Memory 1TB Hard Drive Silver I55477502SLV ,Case Logic Laptop Backpack Black DLBP-116BL ,"Agptek.com, Inc LE8E ","[(1, 5), (2, 8), (3, 6)]"
Sendt Blue Notebook / Laptop Combination Lock Security Cable,"Solo 17.3 Inch  Laptop Rolling Case,Black, CLS910-4",Case Logic Jaunt 15.6-Inch Laptop Backpack (WMBP115 Acai),"Pyle Laptop Projector Stand, Heavy Duty Tripod Height Adjustable 16'' To 28' For DJ Presentations Notebook Computer",AmazonBasics 14-Inch Laptop Sleeve,Kensington Combination Laptop Lock Black K64673US ,"Dantona Industries, Inc DQAD90195530 ",Image 2400DPI Optical Adjustable 6D Buttons Wired Gaming Game Mice For Laptop PCMac OSVistaWindows 7 Black Ghost Sharl ,Solo Sterling Rolling Overnighter Laptop Case Black STL905-4 ,Case Logic Laptop Backpack Black DLBP-116BL ,"[(0, 5), (1, 8), (2, 9)]"
Case Logic LAPS-114 14-Inch Laptop Sleeve (Black),Electricking Replacement Laptop AC Adapter Power Supply Charger,Kensington Ladies Fashion Laptop Case Tote 15.6 Inch,Case Logic 15.6-Inch Laptop Sleeve (LAPS-116),Seagate 1TB Laptop Gaming SSHD (Solid State Hybrid Drive) SATA 6Gb/s 64MB Cache 2.5-Inch Internal Bare Drive (ST1000LM014),Pelican Pelican HardBack 1095CC Carry PC1095CCB ,HQRP HQRP 72W Laptop AC Adapter 884667309080962 ,Case Logic Laptop Sleeve Black LAPS-114BL ,Case Logic Laptop Sleeve Pink LAPS-116PI ,Absolute LoJack for Laptops Premium 3 Year - Mac/Windows Digital Download ,"[(0, 7), (1, 6), (3, 8)]"
"Newest Dell Inspiron 14 Inch Laptop with Intel Pentium N3540 Processor up to 2.66 GHz, 4GB DDR3 RAM, 500 GB Hard Drive, No DVD/CD Drive, Windows 8.1 (Certified Refurbished)",Case Logic 16-Inch Professional Laptop Briefcase (ZLC-216),Patriot Signature 4 GB PC2-6400 DDR2 Notebook Memory PSD24G8002S,"Meffort Inc 17 17.3 inch Neoprene Laptop Bag Sleeve with Extra Side Pocket, Soft Carrying Handle & Removable Shoulder Strap for 16 Inch  to 17.3 Inch  Size Notebook Computer - Clock Butterfly Design","HP ENVY - 15t (Windows 7 Professional, Intel i7-5500U, 1TB Hybrid SSD, 16GB RAM, 4GB NVIDIA GTX 950M, Full HD 1080, AC Bluetooth, Backlit Keyboard) Laptop Notebook Computer Non-Touch ae000",Patriot Memory Patriot Signature DDR2 4GB CL PSD24G8002S ,Lenmar Lenmar LBZ378D Notebook Batte Black LBZ378D ,Dell 14 Latitude Notebook 4 GB Memory and 128 GB Solid State Drive Black E5430 ,HP ENVY 13.3 Laptop Intel Core i5 8GB Memory 128GB Solid State Drive Silver 13-d010nr ,Case Logic iPad and 11 Laptop Messenger MLM-111-GOTHAM ,"[(1, 9), (2, 5)]"
"Solo Pro 17.3 Inch  Laptop Backpack , Black, PRO742-4",Lenovo - Yoga 3 2-in-1 11.6 Inch  Touch-Screen Laptop - Intel Core M - 8GB Memory - 256GB Solid State Drive - Black,Case Logic LAPS-114 14-Inch Laptop Sleeve (Black),"Solo Pro 17.3 Inch  Laptop Backpack , Black, UBN701-4",2015 NEWEST Dell Inspiron 3000 | Intel Pentium N3540 | 4GB Memory | 500GB Hard Drive | 1366 x 768 Resolution | Bluetooth | Windows 8.1 Laptop (Free upgrade to windows 10ﾣﾩ,Solo Urban Laptop Backpack Orange UBN701-4 ,Acer Aspire E5 15.6 Laptop Intel Celeron 4GB Memory 500GB Hard Drive Black E5511C33M ,Solo Active Laptop Backpack Black ACV711-4 ,Lenovo Yoga 3 Pro 2in1 13.3 TouchScreen Laptop Intel Core M 8GB Memory 512GB Solid State Drive Silver Yoga 3 Pro - 80HE011XUS ,Case Logic Laptop Sleeve Black LAPS-117 ,"[(0, 7), (1, 8), (2, 9), (3, 5)]"
Dell Latitude E5500 Laptop Computer - Core 2 Duo 2.0GHz - 2GB DDR2 - 120GB - DVDRW - Windows 7 Pro 64bit - (Certified Refurbished),Corsair Vengeance Performance 8GB (2 x 4GB) DDR3L 1600MHz PC3 12800 Laptop Memory Kit (CMSX8GX3M2B1600C9),Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH),Case Logic 15.6-Inch Laptop Case (VNCI-215),"Plugable UD-3900 USB 3.0 Universal Docking Station with Dual Video Outputs for Windows 10, 8.1, 7, & XP (HDMI and DVI / VGA, Gigabit Ethernet, Audio, 6 USB Ports, 20W Power Adapter)",Fellowes LaptopFlat Panel Pr 4801601 ,Dell 14.1 Latitude Notebook 4 GB Memory 750 GB Hard Drive Black E6400 ,Corsair Vengeance 8GB High Performance Laptop Memory Upgrade Kit CMSX8GX3M2B1600C9 Multi CMSX8GX3M2B1600C9 ,Case Logic Laptop Sleeve Black LAPS-114BL ,Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,"[(1, 7), (2, 8), (3, 9)]"
Electricking Replacement Laptop AC Adapter Power Supply Charger,"Targus CitySmart Slipcase for 16-Inch Laptops, Gray (TSS59404US)","Targus Space Saving Lap Chill Mat for Laptop up to 17-Inch, Gray/Black (AWE80US)","Ikea Laptop Support, Black/white",Swiss Gear MYTHOS Computer Backpack 15.6 inch/16 inch inch Laptop Computer Backpack (Black/Blue) by Wenger,HQRP HQRP 72W Laptop AC Adapter 884667309080926 ,"California Pak International, Inc MCB515 BLACK ","Agptek.com, Inc LR52 ",Targus CitySmart Laptop Slip Case Gray TSS59404US ,Swiss Gear Commute Laptop Backpack Multi 600762 ,"[(0, 5), (1, 8), (4, 9)]"
HP Pavilion 17-g120nr 17.3-Inch Laptop,Kensington 64068F MicroSaver Keyed Laptop Lock for Business,Case Logic 17-Inch Security Friendly Laptop Case (ZLCS-217),McKleinUSA DAVIS 96185A Black Wheeled Ladies' Laptop Case,Case Logic 15.6-Inch Laptop Attache (VNAI-215),HP Pavilion 2in1 11.6 TouchScreen Laptop Intel Pentium 4GB Memory 500GB Hard Drive Red 11-k062nr x360 ,Case Logic Laptop Case Black VNCI-215BL ,Case Logic Laptop Backpack Gray DLBP-116DA ,Logitech K360 Wireless Keyboard Black 920-004088 ,Samsonite Classic Business Wheeled Laptop Case Black 43876-1041 ,"[(2, 7), (3, 9), (4, 6)]"
OGIO Renegade Laptop Briefcase,Case Logic PLS-17 17-Inch Neoprene Laptop Sleeve (Black),"LUXA2 EnerG Bar 65W Universal Laptop Adapter for ASUS, ACER, HP, IBM, LENOVO, DELL, TOSHIBA, Ultrabook (PO-ULA-PC65BK-00)",Lenovo Flex 3 11.6 Inch  TouchScreen 2-in-1 Laptop PC - Intel Celeron processor N2840/ 4GB DDR3L / 500GB HD / HD Webcam / WLAN 802.11b/g/n / Bluetooth 4.0 / Windows 8.1,AmazonBasics Laptop Stand - Silver,Case Logic Case Logic 17 Notebook Sleeve Black PLS-17BLAC ,Looptworks Hoptu 11 Laptop Sleeve Blue 80042411 ,"Case Logic, Inc LAPS113 ",Lenovo Flex 3 2in1 11.6 TouchScreen Laptop Intel Celeron 4GB Memory 500GB Hard Drive Black 80LY0008US ,Eddie Bauer Laptop Briefcase Brown EBLTHSLIM16-BRN ,"[(0, 9), (1, 5), (3, 8)]"
