TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
1,1,1,2,MBox7368722-HH,9,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous Ã  elle en passant par moi,75,French
2,2512,5,4,139137-A047,7,007,1m 58sec,[unknown],Cantigas de roda (unknown),null,Por.
3,2,1,2,MBox38440522-HH,17,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
4,3,1,5,4489993,10,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
5,4,1,5,10339621,2,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
6,5,1,3,49425110MB-01,6,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
7,2136,3,2,MBox28675636-HH,11,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
8,6,1,2,MBox9589118-HH,9,Luce Dufault - Ballade Ã  donner,242,,Luce Dufault,96,French
9,7,1,5,10992441,9,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
10,6842,4,5,15761001,4,Î£Ï„Î± ÎºÎ±Î¼Î­Î½Î±,195000,Î›Î±Ï…ÏÎ­Î½Ï„Î·Ï‚ ÎœÎ±Ï‡Î±Î¹ÏÎ¯Î¯Ï„ÏƒÎ±Ï‚,"Î£Ï…Î»Î»Î¿Î³Î® Î”Î¯Ï†Ï‰Î½Î¿, 22: ÎœÎ¿Ï…ÏƒÎ¹ÎºÎ¿Î¯ Î²Î¹ÏŒÏ„Î¿Ï€Î¿Î¹",1997,Greek
11,5568,2,5,855829,6,,188400,Anathema,Alternative 4,1998,English
12,8,1,5,8987422,23,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
13,9,1,4,182555-A056,2,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),null,Eng.
14,10,1,4,51445-A041,1,001-Deja Vu,3m 36sec,Blanket,Nice (2000),null,ng.
15,4209,3,4,231700-A015,19,019-Feeling Good,2m 55sec,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters (2000),null,Eng.
16,5371,2,1,WoM186470,011,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",04:04,Max Bruch,"The Classical Album, Volume 1",1996,
17,11,1,2,MBox374174-HH,14,Marlene Dietrich - Wo ist der Mann?,188,,Die frÃ¼hen Aufnahmen,,[Multiple languages]
18,12,1,4,131573-A04,1,00-1,3m 52sec,, (2010),null,Jap.
19,13,1,5,12319476,16,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
20,14,1,1,WoM109609,021,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
21,3118,2,3,4763264MB-01,6,CÃ¡llate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
22,2151,3,1,null,008,Outro (Working Title),01:26,FeSo,Working Title,2011,
23,15,1,1,WoM30789732,003,10cm,03:45,Anemone,10cm,2013,
24,2142,3,2,MBox16772235-HH,12,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
25,5893,2,3,50116112MB-01,9,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
26,16,1,2,MBox18800718-HH,3,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
27,5498,4,2,MBox2508308-HH,2,Tony Rice - Urge for Going,350,,Night Flyer,08,English
