,Record1,Record2,label
0,Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH),Case Logic TopLoading Laptop Case Black VNAI-215BL ,1
1,Royce Leather Unisex Pilot / Catalog Computer Case,Royce Leather 6375 ,1
2,Acer Aspire V 15 Touch V3-572P-326T Signature Edition Laptop,Acer 15.6 Aspire Notebook 6 GB Memory 1 TB Hard Drive Red E1-572-54206G1TMnrr ,0
3,Kensington K64663US ClickSafe Master Keyed Laptop Lock,"Agptek.com, Inc LR64F ",0
4,Lenovo G410 Laptop Computer - 59410765 - Black - Intel Core i5-4200M Processor( 2.50GHz 1600MHz 3MB),Lenovo 14 Laptop Intel Core i7 8GB Memory 1TB+8GB Hybrid Hard Drive Black S4170 - 80JU000VUS ,1
5,"2015 Newest Edition Dell Inspiron 17 5000 Series 17.3 Inch Laptop with with Windows 7 Professional, 5th Generation Intel Core i3-5005U (3M Cache, 2 GHz), 4GB Memory, 500GB HDD",Dell Inspiron 15.6 TouchScreen Laptop Intel Core i5 12GB Memory 1TB Hard Drive Silver I55477502SLV ,0
6,AmazonBasics Rolling Laptop Case,Case Logic Laptop Backpack Gray DLBP-116DA ,1
7,Case Logic 17-Inch Security Friendly Laptop Case (ZLCS-217),Case Logic Laptop Backpack Black DLBP-116BL ,1
8,Case Logic VNA-216 16-Inch Laptop Attache (Black),Case Logic Laptop Sleeve Black PLS-15BLAC ,1
9,LapGear Designer Series 300 Lapdesk Damask (48374),"Agptek.com, Inc LE8E ",0
10,Sendt Blue Notebook / Laptop Combination Lock Security Cable,Kensington Combination Laptop Lock Black K64673US ,1
11,"Solo 17.3 Inch  Laptop Rolling Case,Black, CLS910-4",Solo Sterling Rolling Overnighter Laptop Case Black STL905-4 ,1
12,Case Logic Jaunt 15.6-Inch Laptop Backpack (WMBP115 Acai),Case Logic Laptop Backpack Black DLBP-116BL ,1
13,"Pyle Laptop Projector Stand, Heavy Duty Tripod Height Adjustable 16'' To 28' For DJ Presentations Notebook Computer","Dantona Industries, Inc DQAD90195530 ",0
14,AmazonBasics 14-Inch Laptop Sleeve,Image 2400DPI Optical Adjustable 6D Buttons Wired Gaming Game Mice For Laptop PCMac OSVistaWindows 7 Black Ghost Sharl ,0
15,Case Logic LAPS-114 14-Inch Laptop Sleeve (Black),Case Logic Laptop Sleeve Black LAPS-114BL ,1
16,Electricking Replacement Laptop AC Adapter Power Supply Charger,HQRP HQRP 72W Laptop AC Adapter 884667309080962 ,1
17,Kensington Ladies Fashion Laptop Case Tote 15.6 Inch,Absolute LoJack for Laptops Premium 3 Year - Mac/Windows Digital Download ,0
18,Case Logic 15.6-Inch Laptop Sleeve (LAPS-116),Case Logic Laptop Sleeve Pink LAPS-116PI ,1
19,Seagate 1TB Laptop Gaming SSHD (Solid State Hybrid Drive) SATA 6Gb/s 64MB Cache 2.5-Inch Internal Bare Drive (ST1000LM014),Pelican Pelican HardBack 1095CC Carry PC1095CCB ,0
20,"Newest Dell Inspiron 14 Inch Laptop with Intel Pentium N3540 Processor up to 2.66 GHz, 4GB DDR3 RAM, 500 GB Hard Drive, No DVD/CD Drive, Windows 8.1 (Certified Refurbished)",Dell 14 Latitude Notebook 4 GB Memory and 128 GB Solid State Drive Black E5430 ,0
21,Case Logic 16-Inch Professional Laptop Briefcase (ZLC-216),Case Logic iPad and 11 Laptop Messenger MLM-111-GOTHAM ,1
22,Patriot Signature 4 GB PC2-6400 DDR2 Notebook Memory PSD24G8002S,Patriot Memory Patriot Signature DDR2 4GB CL PSD24G8002S ,1
23,"Meffort Inc 17 17.3 inch Neoprene Laptop Bag Sleeve with Extra Side Pocket, Soft Carrying Handle & Removable Shoulder Strap for 16 Inch  to 17.3 Inch  Size Notebook Computer - Clock Butterfly Design",Lenmar Lenmar LBZ378D Notebook Batte Black LBZ378D ,0
24,"HP ENVY - 15t (Windows 7 Professional, Intel i7-5500U, 1TB Hybrid SSD, 16GB RAM, 4GB NVIDIA GTX 950M, Full HD 1080, AC Bluetooth, Backlit Keyboard) Laptop Notebook Computer Non-Touch ae000",HP ENVY 13.3 Laptop Intel Core i5 8GB Memory 128GB Solid State Drive Silver 13-d010nr ,0
25,"Solo Pro 17.3 Inch  Laptop Backpack , Black, PRO742-4",Solo Active Laptop Backpack Black ACV711-4 ,1
26,Lenovo - Yoga 3 2-in-1 11.6 Inch  Touch-Screen Laptop - Intel Core M - 8GB Memory - 256GB Solid State Drive - Black,Lenovo Yoga 3 Pro 2in1 13.3 TouchScreen Laptop Intel Core M 8GB Memory 512GB Solid State Drive Silver Yoga 3 Pro - 80HE011XUS ,1
27,Case Logic LAPS-114 14-Inch Laptop Sleeve (Black),Case Logic Laptop Sleeve Black LAPS-117 ,1
28,"Solo Pro 17.3 Inch  Laptop Backpack , Black, UBN701-4",Solo Urban Laptop Backpack Orange UBN701-4 ,1
29,2015 NEWEST Dell Inspiron 3000 | Intel Pentium N3540 | 4GB Memory | 500GB Hard Drive | 1366 x 768 Resolution | Bluetooth | Windows 8.1 Laptop (Free upgrade to windows 10ﾣﾩ,Acer Aspire E5 15.6 Laptop Intel Celeron 4GB Memory 500GB Hard Drive Black E5511C33M ,0
30,Dell Latitude E5500 Laptop Computer - Core 2 Duo 2.0GHz - 2GB DDR2 - 120GB - DVDRW - Windows 7 Pro 64bit - (Certified Refurbished),Dell 14.1 Latitude Notebook 4 GB Memory 750 GB Hard Drive Black E6400 ,0
