#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,gold
0,3397,3052,1
1,2809,2834,0
2,1902,4184,0
3,599,4201,0
4,1166,3345,0
5,520,2114,0
6,632,2962,0
7,3206,3060,0
8,809,4169,0
9,2244,4640,0
10,1372,2729,0
11,1027,2459,1
12,1947,4114,0
13,1520,2245,0
14,2745,2845,0
15,1852,4825,0
16,2241,2883,0
17,1779,4148,0
18,279,1409,0
19,733,2425,1
20,1990,4555,0
21,2309,4496,0
22,3510,4908,0
23,462,35,0
24,1174,2502,0
25,2692,3190,1
26,1406,3943,0
27,1988,3273,0
28,2662,1109,0
29,1783,3688,0
30,4032,3273,0
31,1059,3335,0
32,2273,4796,0
33,2243,4470,0
34,962,250,0
35,3690,2204,0
36,4041,3815,0
37,3508,1394,0
38,3135,3583,0
39,2922,3035,0
40,3741,3235,0
41,2638,1247,0
42,2321,4979,0
43,1520,2566,0
44,1261,2548,1
45,1295,2326,0
46,1346,385,0
47,3505,2301,0
48,3308,293,0
49,183,713,1
50,3209,2336,0
51,3929,57,0
52,1148,3413,0
53,4114,2780,0
54,4189,3213,0
55,1099,2424,1
56,914,1784,0
57,2880,3497,0
58,1260,4532,0
59,3293,2538,0
60,757,2549,1
61,1274,2422,0
62,558,4745,0
63,1775,3260,0
64,230,4428,0
65,3943,3425,0
66,1430,2277,0
67,3434,4889,0
68,1595,4073,0
69,3992,3603,0
70,3062,4697,0
71,1912,3121,1
72,4039,4084,0
73,679,2987,0
74,3505,3435,0
75,3114,4863,0
76,1507,2424,1
77,621,3791,0
78,3724,2519,0
79,219,3625,0
80,757,2548,1
81,511,1543,0
82,1999,4080,0
83,1005,503,0
84,2491,3966,0
85,3348,3605,0
86,3748,2570,1
87,3092,4594,0
88,3087,3120,0
89,393,3249,0
90,3431,4878,0
91,1027,2542,1
92,2,4510,0
93,375,388,0
94,480,4453,0
95,3690,2236,0
96,707,3817,0
97,1211,4412,0
98,856,450,1
99,3193,1828,0
100,1728,1792,1
101,660,4901,0
102,3476,2699,0
103,3599,1920,0
104,607,3326,0
105,2703,2542,1
106,2929,3383,0
107,1396,2545,0
108,956,2365,0
109,1766,552,0
110,624,4698,0
111,3397,3104,0
112,3135,3594,0
113,320,2570,0
114,3229,3534,0
115,367,8,0
116,2932,64,0
117,1722,2404,0
118,453,1066,0
119,2969,2380,0
120,572,1564,0
121,2105,4890,0
122,2155,4200,0
123,3601,4665,0
124,264,4702,0
125,889,2764,0
126,3114,4576,0
127,2368,4093,0
128,1026,4945,0
129,3978,2426,1
130,2670,2775,0
131,884,3056,0
132,2377,4835,0
133,183,812,1
134,173,1251,0
135,3510,4169,0
136,2366,4556,0
137,1248,1672,0
138,1803,2863,0
139,1776,4510,0
140,2139,3046,1
141,2712,2823,0
142,3937,4005,0
143,3757,1773,0
144,3561,2510,0
145,2228,2955,1
146,470,4468,0
147,1341,4309,0
148,1408,2204,0
149,1789,3080,0
150,3193,3428,1
151,888,4997,1
152,1158,742,0
153,1571,908,0
154,1291,2560,0
155,1310,3156,0
156,513,4887,0
157,790,1809,1
158,3291,3384,0
159,463,1968,0
160,1176,3844,1
161,3089,4169,0
162,3558,2954,0
163,1069,3059,1
164,2171,4183,0
165,3632,3998,0
166,781,3921,0
167,2910,818,0
168,183,657,1
169,2370,4889,0
170,3971,3031,0
171,424,770,0
172,1307,4644,0
173,903,2268,0
174,2377,4223,0
175,1648,1559,0
176,3617,4662,0
177,3267,4718,0
178,641,1096,0
179,1661,3661,0
180,144,991,0
181,3217,3690,0
182,1795,4711,0
183,3717,4166,0
184,2554,33,0
185,1642,1995,0
186,1777,4413,0
187,3386,3908,1
188,3303,2326,0
189,1037,2954,0
190,2266,3847,1
191,2463,4283,0
192,451,101,0
193,3282,2738,0
194,830,1463,0
195,1267,4635,0
196,1311,775,0
197,390,419,0
198,3024,2878,0
199,2273,3457,0
200,956,3454,1
201,3505,4651,0
202,2396,2459,1
203,1931,2192,1
204,266,2069,0
205,872,256,0
206,3978,2317,0
207,2851,2222,1
208,4082,2359,0
209,960,755,0
210,674,3058,0
211,4029,4973,0
212,962,135,0
213,4203,2749,0
214,231,567,0
215,708,2549,1
216,1076,4641,0
217,1571,1017,0
218,2670,3066,0
219,1977,3540,0
220,888,4459,1
221,3169,2978,1
222,3759,4632,0
223,2925,4600,0
224,2246,2594,1
225,4225,2615,0
226,710,331,1
227,284,429,1
228,3172,2881,0
229,2148,3361,0
230,721,2915,0
231,786,2565,1
232,722,2671,0
233,716,2413,0
234,2742,2427,0
235,1604,4487,0
236,733,2541,1
237,1333,4002,0
238,3261,4472,0
239,583,4979,0
240,2292,4444,0
241,1019,2427,0
242,3617,4177,0
243,8,4431,0
244,214,677,0
245,2530,4855,0
246,2528,3257,1
247,1574,796,0
248,3978,3701,0
249,3170,2352,0
250,3720,3822,0
251,576,41,0
252,1164,4158,0
253,1749,3718,0
254,2455,420,0
255,1207,2465,0
256,1913,4888,0
257,3093,4221,0
258,1834,3335,0
259,615,218,0
260,1080,1689,0
261,3992,4034,0
262,30,4204,0
263,778,2474,0
264,3724,1445,0
265,586,709,0
266,778,2368,0
267,1661,3764,0
268,2332,458,0
269,2055,2438,1
270,354,3107,0
271,1929,3566,0
272,4138,2409,0
273,164,677,0
274,3476,3058,0
275,2891,4390,0
276,2093,5,0
277,2158,4828,0
278,1937,4,0
279,1725,2057,0
280,1897,1500,0
281,3630,4585,0
282,4126,812,0
283,2319,2158,0
284,219,2671,0
285,3494,3749,0
286,2463,4410,0
287,1964,417,0
288,1639,800,0
289,357,129,0
290,1372,1809,0
291,3245,1801,1
292,1953,2822,0
293,2829,4525,0
294,3440,4558,0
295,2823,4624,0
296,3439,1775,1
297,1790,2782,1
298,1625,2608,0
299,1582,4462,0
300,4158,4125,0
301,774,4888,0
302,1477,2461,1
303,384,91,1
304,2929,4372,0
305,1902,2418,0
306,583,4518,0
307,4032,4119,0
308,2809,4803,0
309,1569,527,0
310,845,903,0
311,745,4225,0
312,2415,3138,0
313,624,2461,1
314,3345,205,0
315,1599,3064,0
316,654,3714,0
317,1567,3066,0
318,3438,3238,0
319,1047,4795,0
320,1728,3384,0
321,2902,3979,0
322,3807,2290,0
323,324,752,0
324,852,3593,0
325,1087,2144,0
326,3231,2461,1
327,1712,4995,0
328,1943,4261,0
329,1321,4640,0
330,337,4738,0
331,3888,1410,0
332,3989,2738,0
333,2703,2433,1
334,4029,2874,0
335,4032,3213,0
336,2979,4822,0
337,1873,1028,0
338,9,2039,0
339,171,1411,0
340,126,2032,0
341,3529,4603,0
342,1345,3121,0
343,2388,1280,0
344,206,1461,0
345,2480,435,0
346,3457,823,0
347,2879,3782,0
348,2351,26,0
349,2726,4289,0
350,3554,4234,0
351,2115,1688,0
352,907,737,0
353,1937,829,0
354,3910,3614,0
355,2361,2923,0
356,1895,1547,0
357,2835,4635,0
358,3024,2218,1
359,3341,2548,1
360,2142,13,0
361,3452,1925,0
362,455,174,0
363,4107,3049,0
364,2791,4180,0
365,2823,4838,0
366,2792,2461,1
367,3549,3563,0
368,2863,3763,0
369,1046,3917,0
370,1148,3166,0
371,1912,2208,1
372,2155,3673,0
373,671,4906,0
374,1011,161,0
375,4047,3381,0
376,3246,3878,0
377,1220,3326,0
378,3274,1767,0
379,1185,1406,0
380,3894,2206,0
381,4066,3298,0
382,3291,3126,0
383,3385,2424,1
384,984,252,0
385,358,237,1
386,1258,4658,0
387,2395,2549,1
388,37,631,0
389,1215,3660,0
390,1327,4379,0
391,1034,716,0
392,2373,870,0
393,291,3150,0
394,2714,2476,1
