"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.Record1","Input.Record2","Input.label","Answer.equal.label","Approve","Reject"
"3M47JKRKD1P1KWQ16815EGZKT2I68R","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","30IQTZXKAPUY863O2T2IAY12A5Z0XK","A3FFYWZLVBQDM6","Approved","Sat Jun 06 09:22:59 PDT 2020","Sat Jun 06 09:23:14 PDT 2020","Tue Jun 09 09:23:14 PDT 2020","Sat Jun 06 09:24:07 PDT 2020","","","15","100% (45/45)","100% (45/45)","100% (45/45)","Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH)","Case Logic TopLoading Laptop Case Black VNAI-215BL","1","No"
"3M47JKRKD1P1KWQ16815EGZKT2I68R","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","37UEWGM5HYWEIZ2UPD0QZLYOEGJR1H","A27UD9E6ZNRE5H","Approved","Sat Jun 06 05:21:57 PDT 2020","Sat Jun 06 05:22:13 PDT 2020","Tue Jun 09 05:22:13 PDT 2020","Sat Jun 06 08:49:34 PDT 2020","","","16","100% (16/16)","100% (16/16)","100% (16/16)","Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH)","Case Logic TopLoading Laptop Case Black VNAI-215BL","1","No"
"3M47JKRKD1P1KWQ16815EGZKT2I68R","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","3AZHRG4CU98MS8WAI4VU3ICY3AY30N","A22B5CLRFQ9EUX","Approved","Sat Jun 06 09:20:43 PDT 2020","Sat Jun 06 09:20:49 PDT 2020","Tue Jun 09 09:20:49 PDT 2020","Sat Jun 06 09:23:46 PDT 2020","","","6","100% (75/75)","100% (75/75)","100% (75/75)","Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH)","Case Logic TopLoading Laptop Case Black VNAI-215BL","1","No"
"3M47JKRKD1P1KWQ16815EGZKT2I68R","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","3RWE2M8QWMYTWCPK0NF9CWA48RQ0N1","A2ZCIU7Z17MHHZ","Approved","Sun Jun 07 06:05:38 PDT 2020","Sun Jun 07 06:05:45 PDT 2020","Wed Jun 10 06:05:45 PDT 2020","Sun Jun 07 06:54:19 PDT 2020","","","7","100% (45/45)","100% (45/45)","100% (45/45)","Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH)","Case Logic TopLoading Laptop Case Black VNAI-215BL","1","No"
"3M47JKRKD1P1KWQ16815EGZKT2I68R","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","3SITXWYCN0XZST6Y09Z7UFXL19WBXH","A373U4XYXC178J","Approved","Sat Jun 06 14:00:02 PDT 2020","Sat Jun 06 14:00:34 PDT 2020","Tue Jun 09 14:00:34 PDT 2020","Sun Jun 07 00:26:38 PDT 2020","","","32","100% (26/26)","100% (26/26)","100% (26/26)","Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH)","Case Logic TopLoading Laptop Case Black VNAI-215BL","1","No"
"3M47JKRKD1P1KWQ16815EGZKT2I68R","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","3Z7EFSHGNE2I2YY4E9V25Z33JUWCXP","A2236R33CMX70Q","Approved","Sat Jun 06 12:00:22 PDT 2020","Sat Jun 06 12:00:43 PDT 2020","Tue Jun 09 12:00:43 PDT 2020","Sun Jun 07 00:26:38 PDT 2020","","","21","100% (44/44)","100% (44/44)","100% (44/44)","Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH)","Case Logic TopLoading Laptop Case Black VNAI-215BL","1","No"
"32TZXEA1PP85U922OZZB28SYJ5614H","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","336KAV9KYVGU4LWCMCSYC01Q99D2YC","A22B5CLRFQ9EUX","Approved","Sat Jun 06 09:19:29 PDT 2020","Sat Jun 06 09:19:34 PDT 2020","Tue Jun 09 09:19:34 PDT 2020","Sat Jun 06 09:23:37 PDT 2020","","","5","100% (75/75)","100% (75/75)","100% (75/75)","Royce Leather Unisex Pilot / Catalog Computer Case","Royce Leather 6375","1","Yes"
"32TZXEA1PP85U922OZZB28SYJ5614H","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","34Z02EIMIX1RRPU4XJ1LLVGWX9B0T1","A3FFYWZLVBQDM6","Approved","Sat Jun 06 09:20:17 PDT 2020","Sat Jun 06 09:20:31 PDT 2020","Tue Jun 09 09:20:31 PDT 2020","Sat Jun 06 09:23:37 PDT 2020","","","14","100% (45/45)","100% (45/45)","100% (45/45)","Royce Leather Unisex Pilot / Catalog Computer Case","Royce Leather 6375","1","No"
"32TZXEA1PP85U922OZZB28SYJ5614H","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","373ERPL3YTWFRJE3RWK05RHJ6ZATRS","A27UD9E6ZNRE5H","Approved","Sat Jun 06 05:22:46 PDT 2020","Sat Jun 06 05:23:01 PDT 2020","Tue Jun 09 05:23:01 PDT 2020","Sat Jun 06 08:49:34 PDT 2020","","","15","100% (16/16)","100% (16/16)","100% (16/16)","Royce Leather Unisex Pilot / Catalog Computer Case","Royce Leather 6375","1","No"
"32TZXEA1PP85U922OZZB28SYJ5614H","3HSQTUGQM64MLL70G5MMBJ0BTEOG9O","Do these two items represent the same thing? (CS4145)","Are these two items the same?","item, equality, comparison","$0.00","Fri Jun 05 08:13:51 PDT 2020","6","BatchId:281693;OriginalHitTemplateId:921587268;","7200","259200","Fri Jun 12 08:13:51 PDT 2020","","","3HMIGG0U4QU5Q0Y12T1ZMRETV95Y8B","A2ZCIU7Z17MHHZ","Approved","Sun Jun 07 06:05:22 PDT 2020","Sun Jun 07 06:05:29 PDT 2020","Wed Jun 10 06:05:29 PDT 2020","Sun Jun 07 06:54:12 PDT 2020","","","7","100% (45/45)","100% (45/45)","100% (45/45)","Royce Leather Unisex Pilot / Catalog Computer Case","Royce Leather 6375","1","No"
